timestamp,company,title,level,totalyearlycompensation,location,State,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
11/9/20 21:26,Capital One,Business Analyst,Associate Business Analyst,96000,Washington, DC,0,0,Web Development (Front-End),90000,0,6000,NA,NA,40303,511,48062,0,0,0,0,0,0,0,0,0,0,NA,NA
7/19/20 7:42,Fidelity Investments,Business Analyst,L2,82000,Boston, MA,2,2,Web Development (Front-End),72000,0,10000,NA,NA,8816,506,33516,0,0,0,0,0,0,0,0,0,0,NA,NA
7/26/20 6:18,JPMorgan Chase,Business Analyst,Senior Associate,110000,Plano, TX,6,1,Web Development (Front-End),100000,0,10000,NA,NA,11204,623,34267,0,0,0,0,0,0,0,0,0,0,NA,NA
2/5/21 5:54,First Republic bank,Business Analyst,L3,190000,San Francisco, CA,15,2,Wealth management,150000,0,40000,Female,"Information technology, Title: Business Analyst, Race: Asian, Academic Level: Bachelor’s degree",7419,807,56638,0,1,0,0,0,1,0,0,0,0,Asian,Bachelor's Degree
10/13/20 18:06,Capgemini,Business Analyst,L1,68000,Chicago, IL,0,0,Tech Consulting,68000,0,0,NA,NA,8198,602,45032,0,0,0,0,0,0,0,0,0,0,NA,NA
8/4/20 21:54,EY,Business Analyst,S1,86000,New York, NY,4,2,Tech consulting,86000,0,5000,Male,"Race: Asian, Academic Level: Master’s degree",10182,501,35358,1,0,0,0,0,1,0,0,0,0,Asian,Master's Degree
7/18/20 11:37,Tata Consultancy Services,Business Analyst,AST,101000,Santa Clara, CA,10,10,Supply Chain Management,101000,0,0,Male,"Race: Asian, Academic Level: Bachelor’s degree",7434,807,33460,0,1,0,0,0,1,0,0,0,0,Asian,Bachelor's Degree
8/4/20 8:42,Maxim Integrated,Business Analyst,L2,107000,San Jose, CA,5,2,Supply Chain,97000,0,10000,Female,"Race: White, Academic Level: Master’s degree",7422,807,35242,1,0,0,0,0,0,1,0,0,0,White,Master's Degree
7/2/21 8:45,Zulily,Business Analyst,L2,99000,Seattle, WA,3,1,Supply Chain,94000,0,5000,Female,"Title: Business Analyst, Academic Level: Bachelor’s degree",11527,819,76522,0,1,0,0,0,0,0,0,0,0,NA,Bachelor's Degree
10/1/20 11:54,Amazon,Business Analyst,L4,92000,Seattle, WA,1,1,Supply Chain,69000,13000,10000,Female,"Race: Asian, Academic Level: Master’s degree",11527,819,43511,1,0,0,0,0,1,0,0,0,0,Asian,Master's Degree
4/4/21 0:10,Amazon,Business Analyst,L5,125000,Tempe, AZ,4,0,Supply chain,94000,7000,24000,NA,Title: Labor Planner,7053,753,64105,0,0,0,0,0,0,0,0,0,0,NA,NA
8/3/21 20:02,Google,Business Analyst,L5,275000,Sunnyvale, CA,16,6,supply chain,167000,75000,33000,Male,"Title: Business Analyst, Race: Asian, Academic Level: Bachelor’s degree",7472,807,81293,0,1,0,0,0,1,0,0,0,0,Asian,Bachelor's Degree
7/30/20 9:52,Danaher,Business Analyst,P2,73000,Indianapolis, IN,3,3,Supply chain,70000,0,3000,Male,"Race: White, Academic Level: Bachelor’s degree",8399,527,34733,0,1,0,0,0,0,1,0,0,0,White,Bachelor's Degree
5/30/21 8:09,Accenture,Business Analyst,Analyst,97000,New York, NY,0,0,Strategy and Consulting,87000,0,10000,Male,"Title: Consulting Analyst, Race: White, Academic Level: Bachelor’s degree",10182,501,71686,0,1,0,0,0,0,1,0,0,0,White,Bachelor's Degree
4/21/21 11:58,Patreon,Business Analyst,P3,135000,San Francisco, CA,3,1,Strategic Finance,118000,17000,0,NA,"Title: Senior Financial Analyst, Academic Level: Bachelor’s degree",7419,807,66709,0,1,0,0,0,0,0,0,0,0,NA,Bachelor's Degree
3/3/21 21:03,Amazon,Business Analyst,L4,79000,Seattle, WA,3,3,SQL/ ETL/ Tableau,75000,4000,0,Female,"Title: Business Intelligence Analyst, Race: Asian, Academic Level: Bachelor’s degree",11527,819,59989,0,1,0,0,0,1,0,0,0,0,Asian,Bachelor's Degree
5/29/20 1:57,Zalando,Business Analyst,C7,75000,Berlin, BE,10,1,"SQL, Python",75000,0,0,Female,NA,3651,0,29654,0,0,0,0,0,0,0,0,0,0,NA,NA
