year_column,company,city,state1,title,salary_level,area,total_annual_compensation,years_of_experience,years_at_company,base_salary,stock_grant_value,bonus
2020,UBS,Krakow, MA,Business Analyst,1,Analytic,40000,5,2,40000,0,0
2021,HCA Healthcare,Nashville, TN,Business Analyst,1,Inventory,41000,1,1,41000,0,0
2021,Qualtrics,Provo, UT,Business Analyst,1,General,48000,0,0,44000,1000,3000
2021,Clearwater Analytics,Boise, ID,Business Analyst,1,general,50000,5,0,48000,0,0
2020,CIBC,Ontario, CA,Business Analyst,1,Product,50000,2,1,50000,0,0
2020,Spectrum,San Diego, CA,Business Analyst,1,Analytic,60000,0,0,50000,5000,2000
2020,Amazon,Seattle, WA,Business Analyst,1,Growth,53000,5,3,53000,0,0
2020,JPMorgan Chase,Dallas, TX,Business Analyst,1,Other,55000,1,1,55000,1000,1000
2020,JPmorgan Chase,Columbus, OH,Business Analyst,1,Analytic,57000,3,3,57000,0,3000
2020,vizio,Irvine, CA,Business Analyst,1,Operations,57000,1,1,57000,0,0
2020,BNY Mellon,Pittsburgh, PA,Business Analyst,1,Analytic,63000,0,0,58000,0,5000
2020,Deloitte,Orlando, FL,Business Analyst,1,Operations,59000,1,1,59000,0,0
2021,Deloitte,Lake Mary, FL,Business Analyst,1,Customer & Marketing,64000,0,0,59000,0,5000
2021,Amazon,Nashville, TN,Business Analyst,1,General,65000,1,0,60000,5000,0
2020,Facebook,Austin, TX,Business Analyst,1,Operations,71000,0,0,60000,4000,7000
2020,JPMorgan Chase,New York, NY,Business Analyst,1,Analytic,65000,0,0,60000,0,5000
2020,JPMorgan Chase,Columbus, OH,Business Analyst,1,Analytic,64000,0,0,60000,0,4000
2021,Kroger,Cincinnati, OH,Business Analyst,1,Finance,70000,0,0,60000,0,10000
2021,Morgan Stanley,New York, NY,Business Analyst,1,Operations,70000,0,0,60000,0,10000
2021,Amazon,Seattle, WA,Business Analyst,1,General,100000,4,4,63000,37000,0
2021,amazon,Seattle, WA,Business Analyst,1,General,77000,2,1,64000,3000,13000
2021,Amazon,Seattle, WA,Business Analyst,1,Finance,80000,1,1,65000,11000,7000
2020,Cisco,Raleigh, NC,Business Analyst,1,DevOps,65000,1,1,65000,0,2000
2021,Convoy,Seattle, WA,Business Analyst,1,Operations,65000,10,2,65000,0,0
2021,Logitech,Newark, CA,Business Analyst,1,Operation and Analytics,70000,4,1,65000,0,5000
2020,Northrop Grumman,San Diego, CA,Business Analyst,1,Production,65000,1,1,65000,0,0
2020,Qualtrics,Provo, UT,Business Analyst,1,Data,71000,4,4,65000,1000,5000
2020,Uber,Amsterdam, NH,Business Analyst,1,Analytic,85000,5,5,65000,10000,10000
