,Year,Company,City,State,Title,Salary Level,Area,Total Annual Compensation,Years of Experience,Years at Company,Base Salary,Stock Grant Value,Bonus,Masters Degree,Bachelors Degree,Doctorate Degree,Highschool,Some College
0,2021,Accenture,Indianapolis, IN,Data Scientist,1,Data,16000,0,0.0,13000,0,3000,0,1,0,0,0
1,2021,Bank of America,Charlotte, NC,Data Scientist,1,data science,15000,1,1.0,15000,0,3000,0,0,0,0,0
2,2020,PayPal,Chennai, TN,Data Scientist,1,Data,30000,4,2.0,22000,8000,0,0,0,0,0,0
3,2021,Verizon,Chennai, TN,Data Scientist,1,Analytics,35000,8,1.0,32000,1000,3000,1,0,0,0,0
4,2021,Accenture,Dublin, NH,Data Scientist,1,General,34000,0,0.0,34000,0,0,0,0,0,0,0
5,2020,McKinsey,Brazil, IN,Data Scientist,1,ML / AI,36000,2,1.0,34000,0,2000,0,0,0,0,0
6,2021,PayPal,Chennai, TN,Data Scientist,1,Global data science,54000,4,0.0,37000,13000,4000,1,0,0,0,0
7,2021,PwC,Ireland, IN,Data Scientist,1,General,38000,3,2.0,38000,0,2000,1,0,0,0,0
8,2021,Accenture,Amsterdam, NH,Data Scientist,1,General,44000,2,2.0,41000,0,2000,1,0,0,0,0
9,2021,IBM,Barcelona, CT,Data Scientist,1,Data,49000,17,3.0,45000,0,4000,1,0,0,0,0
10,2021,Accenture,Boston, MA,Data Scientist,1,Data Science,54000,2,0.0,54000,0,0,0,0,0,0,0
11,2020,IBM,Columbia, MO,Data Scientist,1,Data,60000,2,2.0,60000,0,0,0,1,0,0,0
12,2021,DAZN Group,Amsterdam, NH,Data Scientist,1,machine learning,61000,3,1.0,61000,0,0,1,0,0,0,0
13,2021,DAZN Group,Amsterdam, NH,Data Scientist,1,Machine Learning,61000,3,1.0,61000,0,0,1,0,0,0,0
14,2020,KPMG,Washington, DC,Data Scientist,1,Data,63000,2,1.0,63000,0,1000,0,0,0,0,0
15,2019,Nielsen,Tampa, FL,Data Scientist,1,ML / AI,65000,2,2.0,65000,0,0,0,0,0,0,0
16,2020,Qualtrics,Provo, UT,Data Scientist,1,Full Stack,70000,1,1.0,66000,0,3000,0,1,0,0,0
