timestamp,company,title,level,Salary Level,totalyearlycompensation,location,State,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
12/25/20 18:28,UBS,Business Analyst,L2,1,40000,Krakow, MA,5,2,Analytic,40000,0,0,NA,NA,14676,0,52388,0,0,0,0,0,0,0,0,0,0,NA,NA
5/14/21 19:03,HCA Healthcare,Business Analyst,L1,1,41000,Nashville, TN,1,1,Inventory,41000,0,0,Male,"Title: Supply Chain Analyst, Race: White, Academic Level: Bachelor’s degree",10919,659,69908,0,1,0,0,0,0,1,0,0,0,White,Bachelor's Degree
8/13/21 16:31,Qualtrics,Business Analyst,L1,1,48000,Provo, UT,0,0,General,44000,1000,3000,NA,Title: Product Specialist,11321,770,83278,0,0,0,0,0,0,0,0,0,0,NA,NA
5/6/21 18:10,Clearwater Analytics,Business Analyst,N/A,1,50000,Boise, ID,5,0,general,48000,0,0,Female,"Title: Customer Service Analyst, Race: Asian, Academic Level: Master’s degree",8132,757,68779,1,0,0,0,0,1,0,0,0,0,Asian,Master's Degree
8/18/20 21:25,CIBC,Business Analyst,L3,1,50000,Ontario, CA,2,1,Product,50000,0,0,NA,NA,7339,803,37076,0,0,0,0,0,0,0,0,0,0,NA,NA
11/9/20 9:28,Spectrum,Business Analyst,Entry,1,60000,San Diego, CA,0,0,Analytic,50000,5000,2000,NA,NA,7416,825,47993,0,0,0,0,0,0,0,0,0,0,NA,NA
11/6/20 20:52,Amazon,Business Analyst,L4,1,53000,Seattle, WA,5,3,Growth,53000,0,0,NA,NA,11527,819,47858,0,0,0,0,0,0,0,0,0,0,NA,NA
7/21/20 19:01,JPMorgan Chase,Business Analyst,Analyst,1,55000,Dallas, TX,1,1,Other,55000,1000,1000,Male,"Race: Hispanic / Latino, Academic Level: Master’s degree",11039,623,33798,1,0,0,0,0,0,0,0,0,1,Hispanic,Master's Degree
12/31/20 10:05,JPmorgan Chase,Business Analyst,601,1,57000,Columbus, OH,3,3,Analytic,57000,0,3000,Male,"0, Race: Asian, Academic Level: Master’s degree",10278,535,52753,1,0,0,0,0,1,0,0,0,0,Asian,Master's Degree
8/29/20 3:09,vizio,Business Analyst,L1,1,57000,Irvine, CA,1,1,Operations,57000,0,0,NA,NA,7229,803,38615,0,0,0,0,0,0,0,0,0,0,NA,NA
12/24/20 14:21,BNY Mellon,Business Analyst,L3,1,63000,Pittsburgh, PA,0,0,Analytic,58000,0,5000,Male,"Title: Emerging Leaders Program, Race: White, Academic Level: Bachelor’s degree",10648,508,52318,0,1,0,0,0,0,1,0,0,0,White,Bachelor's Degree
9/23/20 20:40,Deloitte,Business Analyst,Solution Analyst,1,59000,Orlando, FL,1,1,Operations,59000,0,0,NA,NA,7776,534,42470,0,0,0,0,0,0,0,0,0,0,NA,NA
4/5/21 9:54,Deloitte,Business Analyst,Analyst,1,64000,Lake Mary, FL,0,0,Customer & Marketing,59000,0,5000,Male,"Title: Solution Analyst, Race: Black or African American, Academic Level: Bachelor’s degree",14015,534,64244,0,1,0,0,0,0,0,0,1,0,Black,Bachelor's Degree
7/17/21 14:09,Amazon,Business Analyst,L4,1,65000,Nashville, TN,1,0,General,60000,5000,0,Male,"Title: Analyst, Race: White, Academic Level: Master’s degree",10919,659,78626,1,0,0,0,0,0,1,0,0,0,White,Master's Degree
10/19/20 7:59,Facebook,Business Analyst,IC2,1,71000,Austin, TX,0,0,Operations,60000,4000,7000,Female,Title: Operations Analyst,10965,635,45717,0,0,0,0,0,0,0,0,0,0,NA,NA
9/5/20 10:24,JPMorgan Chase,Business Analyst,601,1,65000,New York, NY,0,0,Analytic,60000,0,5000,Male,"2015, Race: White, Academic Level: Bachelor’s degree",10182,501,39881,0,1,0,0,0,0,1,0,0,0,White,Bachelor's Degree
12/25/20 23:03,JPMorgan Chase,Business Analyst,Analyst,1,64000,Columbus, OH,0,0,Analytic,60000,0,4000,NA,Title: Analyst,10278,535,52394,0,0,0,0,0,0,0,0,0,0,NA,NA
3/11/21 6:05,Kroger,Business Analyst,G1,1,70000,Cincinnati, OH,0,0,Finance,60000,0,10000,Female,"Title: Financial Analyst, Academic Level: Bachelor’s degree",10274,515,61054,0,1,0,0,0,0,0,0,0,0,NA,Bachelor's Degree
8/7/21 12:51,Morgan Stanley,Business Analyst,Analyst,1,70000,New York, NY,0,0,Operations,60000,0,10000,NA,Title: Operations Analyst,10182,501,82150,0,0,0,0,0,0,0,0,0,0,NA,NA
7/21/21 13:45,Amazon,Business Analyst,4,1,100000,Seattle, WA,4,4,General,63000,37000,0,Male,"Remote, Title: Business Analyst, Race: White",11527,819,79222,0,0,0,0,0,0,1,0,0,0,White,NA
